institution,country,continent,lat,lon,power,top5_power
Chicago,USA,North America,41.788584,-87.598932,84,19
UC Berkeley,USA,North America,37.872026,-122.258415,68,16
"Harvard, Cambridge",USA,North America,42.376971,-71.116754,62,21
"Northwestern, Evanston, Illinois",USA,North America,42.056483,-87.675148,61,11
"Stanford, California",USA,North America,37.427436,-122.169812,54,15
"University of Pennsylvania, Philadelphia",USA,North America,39.952206,-75.19345,54,8
Princeton,USA,North America,40.343139,-74.655153,50,13
LSE,UK,Europe,51.514479,-0.116742,47,16
"MIT, Cambridge, Massachusetts",USA,North America,42.359964,-71.094342,44,11
"NYU, New York, NY",USA,North America,40.729542,-73.996557,43,6
"Duke, Durham, South Carolina",USA,North America,36.001426,-78.938367,42,2
"Yale, New Haven, Connecticut",USA,North America,41.316349,-72.922392,40,9
UCL,UK,Europe,51.524643,-0.134037,38,11
UC San Diego,USA,North America,32.880223,-117.234131,38,3
UCLA,USA,North America,34.068961,-118.445081,37,10
"Columbia, New York, New York",USA,North America,40.807511,-73.962674,37,6
"Wisconsin, Madison",USA,North America,43.076647,-89.412662,30,4
Zurich,Switzerland,Europe,47.374322,8.550906,29,5
Boston University,USA,North America,42.350389,-71.105505,27,2
"Cornell, Ithaca, New York",USA,North America,42.453433,-76.473535,25,2
"Brown, Providence, Rhode Island",USA,North America,41.826732,-71.402473,24,5
Toronto,Canada,North America,43.665216,-79.396171,24,2
"Michigan, Ann Arbor, Michigan",USA,North America,42.278083,-83.738352,23,1
"Pompeu Fabra, Barcelona",Spain,Europe,41.379177,2.179593,22,6
"Maryland, College Park, Maryland",USA,North America,38.986931,-76.942604,22,1
Federal Reserve Bank of Minneapolis,USA,North America,44.984649,-93.267253,21,7
UT Austin,USA,North America,30.284965,-97.733798,19,1
"USC, Los Angeles",USA,North America,34.022299,-118.285185,18,0
"Minnesota, Minneapolis, Minnesota",USA,North America,44.974043,-93.22786,17,4
Toulouse,France,Europe,43.605413,1.431874,17,4
"Bocconi, Milan",Italy,Europe,45.448521,9.189797,17,3
"Dartmouth College, Hanover, New Hampshire",USA,North America,43.704417,-72.288491,17,3
UC Irvine,USA,North America,33.640397,-117.844446,17,0
"Pennsylvania State University, State College, Pennsylvania",USA,North America,40.798132,-77.860247,16,2
Boston College,USA,North America,42.335517,-71.168762,16,0
"Caltech, Pasadena, California",USA,North America,34.13756,-118.125376,15,1
Paris School of Economics,France,Europe,48.822471,2.330796,15,1
"Texas A&M, College Station, Texas",USA,North America,30.618733,-96.336481,15,0
UC Santa Barbara,USA,North America,34.413892,-119.849105,14,1
"Johns Hopkins, Baltimore, Maryland",USA,North America,39.329914,-76.620486,14,0
"Monash, Melbourne",Australia,Australasia,-37.910573,145.136303,14,0
"UBC, Vancouver",Canada,North America,49.260584,-123.245971,13,5
Oxford,UK,Europe,51.754826,-1.254603,13,1
"Michigan State, East Lansing, Michigan",USA,North America,42.703472,-84.483013,13,0
Essex,UK,Europe,51.877607,0.947068,12,0
"Ohio State University, Columbus, Ohio",USA,North America,40.006144,-83.016718,12,0
"Vanderbilt University, Nashville, Tennessee",USA,North America,36.144638,-86.802801,12,0
"Washington University in St. Louis, Missouri",USA,North America,38.648848,-90.310693,11,2
"Emory, Atlanta, Georgia",USA,North America,33.797385,-84.322304,11,0
"Erasmus University, Rotterdam",Netherlands,Europe,51.9166,4.525791,11,0
"Federal Reserve Board of Governors, Washington DC",USA,North America,38.893126,-77.045776,11,0
NUS,Singapore,Asia,1.296691,103.776297,11,0
"Rochester, Rochester, New York",USA,North America,43.13044,-77.626179,11,0
UC Davis,USA,North America,38.538102,-121.761687,11,0
VU Amsterdam,Netherlands,Europe,52.333678,4.865699,11,0
"Sciences Po, Paris",France,Europe,48.853976,2.328746,10,6
"North Carolina, Chapel Hill, North Carolina",USA,North America,35.904756,-79.046846,10,1
Cambridge,UK,Europe,52.204273,0.114956,10,0
Tel Aviv,Israel,Asia,32.113464,34.804237,10,0
"Warwick, Coventry",UK,Europe,52.379334,-1.561646,10,0
London Business School,UK,Europe,51.526162,-0.160781,9,3
Mannheim,Germany,Europe,49.483714,8.462303,9,2
"Arizona, Tucson",USA,North America,32.231912,-110.950251,9,1
Amsterdam,Netherlands,Europe,52.355916,4.955644,9,0
"Arizona State University, Tempe, Arizona",USA,North America,33.424159,-111.928058,9,0
"Carnegie Mellon University, Pittsburgh, Pennsylvania",USA,North America,40.442691,-79.943112,9,0
Federal Reserve Bank of San Francisco,USA,North America,37.793653,-122.395509,9,0
"Georgetown, Washington DC",USA,North America,38.907617,-77.072477,9,0
Glasgow,UK,Europe,55.872145,-4.288041,9,0
"Indiana University, Bloomington",USA,North America,39.175503,-86.512734,9,0
"Notre Dame, Notre Dame, Indiana",USA,North America,41.705576,-86.235673,9,0
Vienna,Austria,Europe,48.213143,16.359875,9,0
Oslo,Norway,Europe,59.939988,10.721621,8,4
Tilburg,Netherlands,Europe,51.563912,5.04352,8,2
Melbourne,Australia,Australasia,-37.798401,144.960916,8,1
"Chapman University, Orange, California",USA,North America,33.793166,-117.852099,8,0
"Iowa, Iowa City, Iowa",USA,North America,41.661234,-91.536154,8,0
"Rutgers, New Brunswick",USA,North America,40.500798,-74.447638,8,0
UNSW,Australia,Australasia,-33.914768,151.230836,8,0
Bonn,Germany,Europe,50.726772,7.086459,7,3
"CREST, Paris",France,Europe,48.711135,2.207682,7,1
Bern,Switzerland,Europe,46.950431,7.438151,7,0
Federal Reserve Bank of Chicago,USA,North America,41.878527,-87.632762,7,0
Federal Reserve Bank of New York,USA,North America,40.708578,-74.008708,7,0
Federal Reserve Bank of St Louis,USA,North America,38.628864,-90.18772,7,0
"Virginia, Charlottesville, Virginia, USA",USA,North America,38.033506,-78.508057,7,0
HEC Paris,France,Europe,48.757461,2.169436,6,1
ANU,Australia,Australasia,-35.277709,149.118368,6,0
Bologna,Italy,Europe,44.496767,11.354002,6,0
"EUI, Florence",Italy,Europe,43.803304,11.282916,6,0
Federal Reserve Bank of Atlanta,USA,North America,33.782235,-84.384495,6,0
Geneva,Switzerland,Europe,46.199518,6.144917,6,0
"Illinois, Urbana Champaign, Illinois",USA,North America,40.102002,-88.227216,6,0
"Oregon, Eugene, Oregon, USA",USA,North America,44.044861,-123.072577,6,0
Pittsburgh,USA,North America,40.4443,-79.960892,6,0
"Purdue, West Lafayette, Indiana",USA,North America,40.423599,-86.921111,6,0
"Syracuse, Syracuse, NY",USA,North America,43.039157,-76.135148,6,0
Universite Libre de Bruxelles,Belgium,Europe,50.813214,4.38222,6,0
"UTS, Sydney",Australia,Australasia,-33.883291,151.200621,6,0
Stockholm University,Sweden,Europe,59.362286,18.05781,5,2
Autonomous University of Barcelona,Spain,Europe,41.501892,2.104806,5,1
Manchester,UK,Europe,53.46691,-2.233961,5,1
"Carlos III, Madrid",Spain,Europe,40.317128,-3.727478,5,0
Colorado - Boulder,USA,North America,40.007458,-105.265716,5,0
Copenhagen,Denmark,Europe,55.680273,12.572239,5,0
"Einaudi Institute for Economics and Finance, Rome",Italy,Europe,41.908192,12.495645,5,0
"Federal Reserve Bank of Richmond, Virginia",USA,North America,37.535688,-77.440656,5,0
"Florida, Gainesville, Florida",USA,North America,29.643698,-82.35507,5,0
"George Mason, Fairfax, Virginia",USA,North America,38.829711,-77.307652,5,0
"Georgia State University, Atlanta, Georgia",USA,North America,33.752988,-84.385423,5,0
Goethe University Frankfurt,Germany,Europe,50.12715,8.667667,5,0
Hebrew University of Jerusalem,Israel,Asia,31.794695,35.241358,5,0
Houston,USA,North America,29.719921,-95.34218,5,0
Imperial College London,UK,Europe,51.498792,-0.174874,5,0
"North Carolina State University, Raleigh, North Carolina",USA,North America,35.784633,-78.682074,5,0
"Queen Mary, London",UK,Europe,51.52403,-0.040482,5,0
"Rice, Houston",USA,North America,29.717245,-95.401703,5,0
SMU,Singapore,Asia,1.296444,103.849932,5,0
UC Riverside,USA,North America,33.973759,-117.327987,5,0
"Washington, Seattle",USA,North America,47.655248,-122.303625,5,0
"Western University, London, Ontario",Canada,North America,43.009558,-81.273838,5,0
"York, Yorkshire",UK,Europe,53.946109,-1.051847,5,0
"CERGE-EI, Charles University, Prague",Czech Republic,Europe,50.083297,14.428955,4,3
"Ludwig-Maximilians-Universitat, Munich",Germany,Europe,48.151141,11.580141,4,2
Bergen,Norway,Europe,60.38789,5.321916,4,1
Edinburgh,UK,Europe,55.944552,-3.189477,4,1
Bielefeld,Germany,Europe,52.036684,8.495222,4,0
Federal Reserve Bank of Philadelphia,USA,North America,39.953695,-75.15127,4,0
"Florida State University, Tallahassee, Florida",USA,North America,30.441859,-84.2988,4,0
"Georgia, Athens, Georgia",USA,North America,33.948041,-83.377633,4,0
"IMF, Washington DC",USA,North America,38.898724,-77.044252,4,0
"Iowa State University, Ames, Iowa",USA,North America,42.026605,-93.646623,4,0
"KU Leuven, Leuven",Belgium,Europe,50.86712,4.69059,4,0
Lausanne,Switzerland,Europe,46.521112,6.580032,4,0
Montreal,Canada,North America,45.51061,-73.613531,4,0
Nottingham,UK,Europe,52.93862,-1.195201,4,0
"Simon Fraser University, Burnaby",Canada,North America,49.278083,-122.920001,4,0
St Andrews,UK,Europe,56.341663,-2.7943,4,0
"Surrey, Guildford",UK,Europe,51.242733,-0.587872,4,0
Sydney,Australia,Australasia,-33.887454,151.186995,4,0
Tokyo,Japan,Asia,35.712673,139.761667,4,0
"Tufts University, Medford, Massachusetts",USA,North America,42.408474,-71.118198,4,0
UC Santa Cruz,USA,North America,36.987986,-122.0584,4,0
"Williams College, Williamstown, Massachusetts",USA,North America,42.712829,-73.203118,4,0
"World Bank, Washington DC",USA,North America,38.901348,-77.042716,4,0
"Central European University, Budapest",Hungary,Europe,47.500416,19.049655,3,2
"University of the Basque Country, Bilbao",Spain,Europe,43.337386,-2.969921,3,2
CUHK,China,Asia,22.419605,114.205205,3,1
"PUC, Rio",Brasil,South America,-22.979476,-43.232808,3,1
Stockholm School of Economics,Sweden,Europe,59.341722,18.056758,3,1
"Aalto, Espoo",Finland,Europe,60.186856,24.827607,3,0
"Aarhus University, Aarhus",Denmark,Europe,56.168106,10.20302,3,0
"Brandeis, Waltham, Massachusetts",USA,North America,42.365643,-71.258594,3,0
"Catholic University of Louvain, Louvain-la-Neuve",Belgium,Europe,50.669803,4.615561,3,0
Cologne,Germany,Europe,50.928318,6.928787,3,0
"Connecticut, Mansfield, Connecticut",USA,North America,41.807709,-72.254045,3,0
"CREI, Barcelona",Spain,Europe,41.389748,2.190352,3,0
"ESSEC Business School, Cergy",France,Europe,49.033516,2.076572,3,0
"European Central Bank, Frankfurt",Germany,Europe,50.110014,8.701891,3,0
Federal Reserve Bank of Boston,USA,North America,42.352876,-71.053997,3,0
Federal Reserve Bank of Cleveland,USA,North America,41.502177,-81.690318,3,0
Federal Reserve Bank of Dallas,USA,North America,32.791638,-96.800707,3,0
"FGV, Rio",Brasil,South America,-22.941063,-43.180294,3,0
"George Washington University, Washington DC",USA,North America,38.903257,-77.049813,3,0
Ghent University,Belgium,Europe,51.046697,3.727854,3,0
