Journal	Top 5 Dummy	Date	Role	First name	Surname	Affiliation 1	Country 1	Continent 1	Location 1	lat	lon	Affiliation 2	Country 2	Continent 2	Location 2	lat2	lon2
AEJ: Applied Economics	0	31/7/20	Co-editor	David	Deming	Harvard, Cambridge	USA	North America	42.376971, -71.116735	42.376971	-71.116735						
AEJ: Applied Economics	0	31/7/20	Co-editor	Seema	Jayachandran	Northwestern, Evanston, Illinois	USA	North America	42.056483, -87.675106	42.056483	-87.675106						
AEJ: Applied Economics	0	31/7/20	Co-editor	Ilyana	Kuziemko	Princeton	USA	North America	40.343139, -74.655121	40.343139	-74.655121						
AEJ: Applied Economics	0	31/7/20	Co-editor	Camille	Landais	LSE	UK	Europe	51.514479, -0.116741	51.514479	-0.116741						
AEJ: Applied Economics	0	31/7/20	Co-editor	Neale	Mahoney	Chicago	USA	North America	41.788584, -87.598885	41.788584	-87.598885						
AEJ: Applied Economics	0	31/7/20	Editor	Benjamin	Olken	MIT, Cambridge, Massachusetts	USA	North America	42.359964, -71.094343	42.359964	-71.094343						
AEJ: Applied Economics	0	31/7/20	Editorial Board	Nava	Ashraf	LSE	UK	Europe	51.514479, -0.116742	51.514479	-0.116742						
AEJ: Applied Economics	0	31/7/20	Editorial Board	Christopher	Blattman	Chicago	USA	North America	41.788584, -87.598885	41.788584	-87.598885						
AEJ: Applied Economics	0	31/7/20	Editorial Board	Aimee	Chin	Houston	USA	North America	29.719921, -95.342180	29.719921	-95.34218						
AEJ: Applied Economics	0	31/7/20	Editorial Board	Damon	Clark	UC Irvine	USA	North America	33.640397, -117.844430	33.640397	-117.84443						
AEJ: Applied Economics	0	31/7/20	Editorial Board	Janet	Currie	Princeton	USA	North America	40.343139, -74.655122	40.343139	-74.655122						
AEJ: Applied Economics	0	31/7/20	Editorial Board	Jan	de Loecker	KU Leuven, Leuven	Belgium	Europe	50.867120, 4.690590	50.86712	4.69059						
AEJ: Applied Economics	0	31/7/20	Editorial Board	Melissa	Dell	Harvard, Cambridge	USA	North America	42.376971, -71.116736	42.376971	-71.116736						
AEJ: Applied Economics	0	31/7/20	Editorial Board	Pascaline	Dupas	Stanford, California	USA	North America	37.427436, -122.169763	37.427436	-122.169763						
AEJ: Applied Economics	0	31/7/20	Editorial Board	Frederico	Finan	UC Berkeley	USA	North America	37.872026, -122.258376	37.872026	-122.258376						
