lat,lon,GroupCount,author_power,author_power_log10
-46,171,9,9,0.954242509439325
-44,172,1,1,0
-44,173,3,3,0.477121254719662
-43,147,4,4,0.602059991327962
-41,175,12,12,1.07918124604762
-40,176,8,8,0.903089986991944
-39,-73,1,1,0
-39,-62,3,3,0.477121254719662
-38,144,27,27,1.43136376415899
-38,145,307,307,2.48713837547719
-38,175,17,17,1.23044892137827
-38,176,1,1,0
-37,175,41,41,1.61278385671974
-35,-72,3,3,0.477121254719662
-35,-58,19,19,1.27875360095283
-35,-56,4,4,0.602059991327962
-35,139,29,29,1.46239799789896
-35,149,61,61,1.78532983501077
-34,-59,2,2,0.301029995663981
-34,18,14,14,1.14612803567824
-34,19,6,6,0.778151250383644
-34,151,192,192,2.28330122870355
-33,-72,9,9,0.954242509439325
-33,-71,82,82,1.91381385238372
-33,-66,3,3,0.477121254719662
-33,152,9,9,0.954242509439325
-32,-69,3,3,0.477121254719662
-32,-52,3,3,0.477121254719662
-32,116,39,39,1.5910646070265
-30,-51,2,2,0.301029995663981
-29,26,1,1,0
-28,153,13,13,1.11394335230684
-27,-65,1,1,0
-27,153,64,64,1.80617997398389
-26,28,18,18,1.25527250510331
-25,-58,3,3,0.477121254719662
-25,-49,2,2,0.301029995663981
-24,-47,25,25,1.39794000867204
-23,-47,2,2,0.301029995663981
-23,-43,87,87,1.93951925261862
-22,-43,2,2,0.301029995663981
-21,-43,1,1,0
-20,-44,1,1,0
-20,29,1,1,0
-17,-49,3,3,0.477121254719662
-16,-48,9,9,0.954242509439325
-14,34,2,2,0.301029995663981
-13,-39,1,1,0
-12,-77,13,13,1.11394335230684
-8,-35,5,5,0.698970004336019
-8,110,1,1,0
-7,107,2,2,0.301029995663981
-7,113,1,1,0
-6,107,1,1,0
-4,-39,1,1,0
-2,-80,1,1,0
-2,104,2,2,0.301029995663981
-1,37,6,6,0.778151250383644
-0,-78,2,2,0.301029995663981
0,33,5,5,0.698970004336019
1,104,210,210,2.32221929473392
2,104,1,1,0
3,-77,1,1,0
3,102,9,9,0.954242509439325
5,-74,31,31,1.49136169383427
5,-4,1,1,0
5,-1,1,1,0
5,100,2,2,0.301029995663981
6,-76,3,3,0.477121254719662
6,-0,1,1,0
6,8,2,2,0.301029995663981
6,101,4,4,0.602059991327962
7,4,5,5,0.698970004336019
7,80,2,2,0.301029995663981
7,81,2,2,0.301029995663981
8,5,1,1,0
9,-1,1,1,0
9,7,1,1,0
9,39,3,3,0.477121254719662
9,42,1,1,0
9,77,2,2,0.301029995663981
10,-84,3,3,0.477121254719662
10,-67,1,1,0
10,76,10,10,1
11,-75,1,1,0
11,76,1,1,0
11,80,1,1,0
11,107,12,12,1.07918124604762
12,9,1,1,0
13,39,1,1,0
13,78,10,10,1
13,80,1,1,0
13,101,1,1,0
14,80,1,1,0
14,100,2,2,0.301029995663981
14,101,13,13,1.11394335230684
15,121,2,2,0.301029995663981
16,74,1,1,0
16,78,1,1,0
16,108,7,7,0.845098040014257
17,78,6,6,0.778151250383644
18,-77,1,1,0
19,-99,28,28,1.44715803134222
19,-98,2,2,0.301029995663981
19,73,5,5,0.698970004336019
20,-101,1,1,0
21,-158,1,1,0
21,-101,1,1,0
21,39,1,1,0
21,106,5,5,0.698970004336019
21,107,1,1,0
22,39,2,2,0.301029995663981
22,88,2,2,0.301029995663981
22,114,198,198,2.29666519026153
23,73,2,2,0.301029995663981
23,76,6,6,0.778151250383644
23,77,1,1,0
23,88,9,9,0.954242509439325
23,113,46,46,1.66275783168157
23,114,40,40,1.60205999132796
23,120,3,3,0.477121254719662
24,40,3,3,0.477121254719662
24,47,1,1,0
24,54,1,1,0
24,55,1,1,0
24,56,3,3,0.477121254719662
24,58,2,2,0.301029995663981
24,90,3,3,0.477121254719662
24,118,79,79,1.89762709129044
24,120,2,2,0.301029995663981
24,121,7,7,0.845098040014257
25,47,4,4,0.602059991327962
25,51,8,8,0.903089986991944
25,54,29,29,1.46239799789896
25,55,16,16,1.20411998265592
25,56,1,1,0
25,67,1,1,0
25,74,1,1,0
25,103,20,20,1.30102999566398
25,110,2,2,0.301029995663981
25,121,25,25,1.39794000867204
25,122,49,49,1.69019608002851
26,-97,2,2,0.301029995663981
26,-82,1,1,0
26,-80,15,15,1.17609125905568
26,50,1,1,0
26,51,2,2,0.301029995663981
26,92,2,2,0.301029995663981
26,119,2,2,0.301029995663981
27,80,9,9,0.954242509439325
27,81,2,2,0.301029995663981
28,-97,1,1,0
28,-82,3,3,0.477121254719662
28,-16,3,3,0.477121254719662
28,-15,1,1,0
