lat,lon,GroupCount,author_power,author_power_log10
-46,171,7,7,0.845098040014257
-44,172,1,1,0
-44,173,3,3,0.477121254719662
-41,175,7,7,0.845098040014257
-39,-73,1,1,0
-39,-62,2,2,0.301029995663981
-38,144,27,27,1.43136376415899
-38,145,58,58,1.76342799356294
-38,176,1,1,0
-37,175,8,8,0.903089986991944
-35,-58,19,19,1.27875360095283
-35,-56,4,4,0.602059991327962
-35,139,12,12,1.07918124604762
-35,149,3,3,0.477121254719662
-34,-59,2,2,0.301029995663981
-34,151,55,55,1.74036268949424
-33,-72,9,9,0.954242509439325
-33,-71,75,75,1.8750612633917
-33,-66,3,3,0.477121254719662
-32,-69,3,3,0.477121254719662
-32,-52,1,1,0
-32,116,26,26,1.41497334797082
-30,-51,1,1,0
-29,26,1,1,0
-28,153,13,13,1.11394335230684
-27,-65,1,1,0
-27,153,18,18,1.25527250510331
-26,28,10,10,1
-25,-49,2,2,0.301029995663981
-24,-47,25,25,1.39794000867204
-23,-43,71,71,1.85125834871908
-22,-43,2,2,0.301029995663981
-21,-43,1,1,0
-20,-44,1,1,0
-20,29,1,1,0
-17,-49,3,3,0.477121254719662
-16,-48,4,4,0.602059991327962
-14,34,2,2,0.301029995663981
-12,-77,13,13,1.11394335230684
-8,-35,5,5,0.698970004336019
-8,110,1,1,0
-7,107,2,2,0.301029995663981
-7,113,1,1,0
-6,107,1,1,0
-4,-39,1,1,0
-2,-80,1,1,0
-2,104,2,2,0.301029995663981
-0,-78,1,1,0
0,33,4,4,0.602059991327962
1,104,173,173,2.2380461031288
3,-77,1,1,0
3,102,2,2,0.301029995663981
5,-74,31,31,1.49136169383427
6,-76,2,2,0.301029995663981
9,7,1,1,0
9,39,3,3,0.477121254719662
11,107,12,12,1.07918124604762
13,101,1,1,0
14,80,1,1,0
14,100,2,2,0.301029995663981
14,101,9,9,0.954242509439325
15,121,1,1,0
16,78,1,1,0
16,108,7,7,0.845098040014257
19,-99,28,28,1.44715803134222
19,-98,2,2,0.301029995663981
19,73,1,1,0
20,-101,1,1,0
21,-158,1,1,0
21,-101,1,1,0
21,106,3,3,0.477121254719662
21,107,1,1,0
22,114,67,67,1.82607480270083
23,88,8,8,0.903089986991944
23,113,46,46,1.66275783168157
23,114,28,28,1.44715803134222
23,120,3,3,0.477121254719662
24,47,1,1,0
24,90,2,2,0.301029995663981
24,118,78,78,1.89209460269048
24,120,2,2,0.301029995663981
24,121,7,7,0.845098040014257
