Journal,n_affiliations_editors,journal_geomean_lat_editors,journal_geomean_lon_editors,journal_stdist_linear_km_editors,journal_stdist_linear_deg_editors,n_affiliations_authors,journal_geomean_lat_authors,journal_geomean_lon_authors,journal_stdist_linear_km_authors,journal_stdist_linear_deg_authors,arclen_author_editor,abbr
"AEJ: Applied Economics",32,46.3762611867687,-83.0464310775955,2033,18.28,244,50.8137188767248,-67.8813520830674,3339,30.03,10.941373666389,AEJ-AE
"AEJ: Economic Policy",39,43.2632583023278,-90.3905837472664,1899,17.08,158,52.5456142530021,-71.5199299007178,3437,30.91,15.6127106710129,AEJ-EP
"AEJ: Macroeconomics",19,41.8387675830375,-81.2771909516505,1212,10.9,198,57.1508060834521,-47.2118269936243,3957,35.59,26.4717854267677,AEJ-Macro
"AEJ: Microeconomics",22,41.022280461925,-85.3201394184254,1837,16.52,134,57.5006854538004,-47.27316939501,4199,37.76,29.2155122170776,AEJ-Micro
"AER",87,48.2723945336044,-82.3663851323945,2404,21.62,539,53.5726603773245,-70.4495139409266,3569,32.1,9.17484026325032,AER
"American Journal of Agricultural Economics",36,42.62865288923,-85.7392164604553,1806,16.24,328,52.1324579584211,-78.6237127117995,3738,33.62,10.6432106612754,AJAE
"Econometric Theory",59,58.8580249394341,-50.4129990893187,4210,37.86,161,75.2122300618267,-10.3805334536127,5470,49.19,21.7809618638961,EmTh
"Econometrica",66,48.1505134981635,-82.1410383997773,2876,25.86,394,55.2770105842441,-62.1850047205199,3788,34.07,14.19758065193,Ecmtrca
"Economic Theory",88,55.7562187794967,-74.4443471685189,4411,39.67,499,64.8332096223824,-14.9853512494655,4914,44.19,29.5669140178941,EconTh
"Energy Economics",40,78.8762583330372,2.99012262906472,5679,51.07,2492,62.2893425433662,71.5711754230238,5863,52.73,25.6524576227336,EnEcon
"European Economic Review",80,58.0116453479576,-17.30857769576,3607,32.44,892,60.7370191744809,-5.26789337807832,3780,33.99,6.69936771163929,EER
"Experimental Economics",59,58.5909460043208,-74.068798762561,5427,48.81,362,64.8357027661567,-25.7004648336842,4994,44.91,23.1200192615547,ExpEcon
"Games and Economic Behavior",81,57.8854117624052,-43.4892288323891,4437,39.9,733,67.2453663217223,-20.1344180459444,5072,45.61,14.1077464722659,GEB
"Health Economics",45,62.337999222914,-31.5417852595227,5157,46.38,781,58.4123109043855,-38.1142613780776,4352,39.14,5.09069712882674,HE
"International Economic Review",20,56.7680830452974,-89.4207855401923,4046,36.39,339,64.994547956785,-38.5173725374906,4823,43.37,25.2917670264184,IER
"Journal of Applied Econometrics",64,53.8442778120522,-66.4938020332622,4411,39.67,377,62.0292372859209,-22.8824613260762,4304,38.71,24.0133877257115,JAE
"Journal of Business and Economic Statistics",77,55.4165241559404,-65.4924226189932,3941,35.44,575,73.8656597693212,-26.6425100755976,5563,50.03,23.9763490003228,JBES
"Journal of Development Economics",77,46.6040109971798,-79.0274958964814,2531,22.76,617,63.8799367388941,-51.5892168973726,5268,47.38,22.9478535295991,JDE
"Journal of Econometrics",59,51.6712813982664,-73.3799776745906,3636,32.7,1305,75.0437849741414,-28.136913270685,5620,50.54,29.4732998883474,JEcmtrcs 
"Journal of Economic Behavior and Organization",77,64.9251085988764,-37.1749821790682,5182,46.6,2055,63.6630371274773,-14.4876176536676,4748,42.7,9.86671605512977,JEBO
"Journal of Economic Dynamics and Control",71,59.9113959759661,-59.4669358519776,4726,42.5,654,65.6936518095903,2.13185550385951,4825,43.39,27.5377648838067,JEDC
"Journal of Economic Growth",34,52.4386487404513,-62.4326513586382,3415,30.71,66,49.8915687411707,-37.4628820236817,4750,42.72,15.7819920094676,JEG
